"Latitude","Longitude","Species","DBH"
47.6436085253,-122.066807491,"Fir, Douglas (Pseudotsuga menziesii)",1
47.6436248589,-122.06687309,"Fir, Douglas (Pseudotsuga menziesii)",2
47.6437348708,-122.066848134,"Dogwood, Pacific (Cornus nuttallii)",4
47.6436291825,-122.066827456,"Sumac (Rhus species)",5
47.6355896824,-122.064279544,"Maple, Red (Acer rubrum)",15
47.6377681136,-122.065006129,"Maple, Red (Acer rubrum)",16
47.6356795313,-122.064236049,"Maple, Red (Acer rubrum)",14
47.6381683315,-122.065361221,"Hornbeam, European (Carpinus betulus)",12
47.6357559267,-122.064203962,"Maple, Red (Acer rubrum)",15
47.6382173376,-122.065391169,"Hornbeam, European (Carpinus betulus)",10
47.6382653827,-122.065443934,"Hornbeam, European (Carpinus betulus)",6
47.6359332214,-122.064171875,"Maple, Red (Acer rubrum)",18
47.6383528248,-122.065493846,"Maple, Red (Acer rubrum)",13
47.6360192259,-122.064154049,"Maple, Red (Acer rubrum)",16
47.6384364231,-122.065538768,"Maple, Red (Acer rubrum)",15
47.6361109959,-122.064145493,"Maple, Red (Acer rubrum)",17
47.6385224234,-122.065579411,"Maple, Red (Acer rubrum)",16
47.6365064219,-122.064176866,"Maple, Red (Acer rubrum)",17
47.636612605,-122.06417544,"Maple, Red (Acer rubrum)",16
47.6366885186,-122.064198971,"Maple, Red (Acer rubrum)",13
47.6367471354,-122.064226066,"Maple, Red (Acer rubrum)",14
47.6334625735,-122.064839991,"Hornbeam, European (Carpinus betulus)",7
47.6376994083,-122.065141606,"Hornbeam, European (Carpinus betulus)",11
47.6368177637,-122.064259579,"Maple, Red (Acer rubrum)",13
47.6332501942,-122.064887052,"Hornbeam, European (Carpinus betulus)",8
47.6376417536,-122.065079572,"Hornbeam, European (Carpinus betulus)",8
47.636887431,-122.064285248,"Maple, Red (Acer rubrum)",14
47.6331848465,-122.064924843,"Maple, Red (Acer rubrum)",12
47.6375624781,-122.065015398,"Hornbeam, European (Carpinus betulus)",7
47.63695902,-122.064335874,"Maple, Red (Acer rubrum)",13
47.6329806346,-122.06504392,"Cedar, Western Red (Thuja plicata)",17
47.6373136006,-122.064816461,"Hornbeam, European (Carpinus betulus)",7
47.6370330113,-122.064377943,"Maple, Red (Acer rubrum)",16
47.6328859761,-122.06508385,"Cedar, Western Red (Thuja plicata)",17
47.6372275982,-122.064720914,"Hornbeam, European (Carpinus betulus)",7
47.6372151062,-122.064537663,"Hornbeam, European (Carpinus betulus)",5
47.6329397921,-122.06509098,"Cedar, Western Red (Thuja plicata)",13
47.6371685015,-122.064675993,"Hornbeam, European (Carpinus betulus)",7
47.6328071739,-122.065109519,"Katsura Tree (Cercidiphyllum japonicum)",5
47.6372857339,-122.064579019,"Hornbeam, European (Carpinus betulus)",7
47.6365943473,-122.064359404,"Hornbeam, European (Carpinus betulus)",8
47.638858256,-122.065676384,"Maple, Red (Acer rubrum)",16
47.6327783438,-122.065120215,"Cedar, Western Red (Thuja plicata)",17
47.6373477132,-122.064629645,"Hornbeam, European (Carpinus betulus)",8
47.6365246796,-122.06434443,"Hornbeam, European (Carpinus betulus)",8
47.6389480992,-122.065682801,"Sweetgum, Common (Liquidambar styraciflua)",10
47.632692334,-122.065146597,"Cedar, Western Red (Thuja plicata)",13
47.6374020051,-122.064680984,"Hornbeam, European (Carpinus betulus)",6
47.639019205,-122.065677097,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6326591793,-122.065148736,"Maple, Red (Acer rubrum)",16
47.637455336,-122.064737314,"Hornbeam, European (Carpinus betulus)",6
47.6317966701,-122.065039642,"Maple, Red (Acer rubrum)",7
47.6326183366,-122.06514731,"Cedar, Western Red (Thuja plicata)",15
47.6390864671,-122.065692784,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6375226002,-122.064815748,"Maple, Red (Acer rubrum)",8
47.6325779743,-122.065169414,"Cedar, Western Red (Thuja plicata)",13
47.6391551705,-122.065682801,"Sweetgum, Common (Liquidambar styraciflua)",8
47.631704412,-122.065006129,"Pine (Pinus species)",12
47.6376057193,-122.064877069,"Maple, Red (Acer rubrum)",9
47.6325539492,-122.065162997,"Katsura Tree (Cercidiphyllum japonicum)",4
47.6392320413,-122.065689219,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6317596707,-122.065046059,"Cedar, Western Red (Thuja plicata)",14
47.6376912406,-122.06493839,"Maple, Red (Acer rubrum)",15
47.6325164699,-122.065177258,"Pine (Pinus species)",12
47.6395034904,-122.065677097,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6393137164,-122.065685653,"Maple, Red (Acer rubrum)",17
47.6316356988,-122.064963347,"Cedar, Western Red (Thuja plicata)",16
47.6323992268,-122.065177258,"Cedar, Western Red (Thuja plicata)",17
47.6395582605,-122.06567781,"Sweetgum, Common (Liquidambar styraciflua)",7
47.6394040393,-122.065680662,"Maple, Red (Acer rubrum)",15
47.6322968791,-122.065174406,"Pine (Pinus species)",14
47.6315794788,-122.06493126,"Maple, Red (Acer rubrum)",12
47.6322598802,-122.065170127,"Katsura Tree (Cercidiphyllum japonicum)",6
47.6395962152,-122.065674245,"Sweetgum, Common (Liquidambar styraciflua)",9
47.6316092706,-122.064940529,"Katsura Tree (Cercidiphyllum japonicum)",3
47.6322007778,-122.065154441,"Cedar, Western Red (Thuja plicata)",15
47.6396384938,-122.065682088,"Sweetgum, Common (Liquidambar styraciflua)",8
47.6313488323,-122.064758705,"Hornbeam, European (Carpinus betulus)",6
47.632142156,-122.065158719,"Pine (Pinus species)",17
47.6382625,-122.065594385,"Maple, Red (Acer rubrum)",12
47.6397057551,-122.065681375,"Sweetgum, Common (Liquidambar styraciflua)",6
47.6381986,-122.065563724,"Hornbeam, European (Carpinus betulus)",8
