"Site ID","Latitude","Longitude","Species","DBH"
3515,47.5863510054,-122.037893035,"Fir, Douglas (Pseudotsuga menziesii)",22
3516,47.5864087168,-122.037862374,"Fir, Douglas (Pseudotsuga menziesii)",16
3517,47.586427473,-122.037878061,"Fir, Douglas (Pseudotsuga menziesii)",26
3518,47.5863764946,-122.037951504,"Maple, Bigleaf (Acer macrophyllum)",24
3519,47.586347158,-122.037934391,"Cedar, Western Red (Thuja plicata)",30
3520,47.5863298446,-122.037962199,"Fir, Douglas (Pseudotsuga menziesii)",25
3521,47.5864043884,-122.038014964,"Fir, Douglas (Pseudotsuga menziesii)",20
3522,47.5863784183,-122.038057747,"Hemlock, Western (Tsuga heterophylla)",16
3523,47.5864765275,-122.037977886,"Fir, Douglas (Pseudotsuga menziesii)",27
3524,47.5864313204,-122.038037068,"Fir, Douglas (Pseudotsuga menziesii)",25
3525,47.5863519673,-122.037996425,"Fir, Douglas (Pseudotsuga menziesii)",10
3526,47.5864193331,-122.038110266,"Maple, Bigleaf (Acer macrophyllum)",16
3527,47.5863216688,-122.038324422,"Cottonwood, Black (Populus balsamifera ssp. trichocarpa)",25
3528,47.5864164116,-122.038401431,"Cedar, Western Red (Thuja plicata)",35
3529,47.5863399441,-122.038480578,"Fir, Douglas (Pseudotsuga menziesii)",37
3530,47.5864245874,-122.038557586,"Maple, Bigleaf (Acer macrophyllum)",28
3531,47.5863827467,-122.038616768,"Fir, Douglas (Pseudotsuga menziesii)",13
3532,47.5864075612,-122.038708568,"Fir, Douglas (Pseudotsuga menziesii)",27
3533,47.5863633159,-122.03881695,"Maple, Bigleaf (Acer macrophyllum)",23
3534,47.5864111214,-122.038775062,"Maple, Bigleaf (Acer macrophyllum)",28
3535,47.5864056375,-122.038648673,"Maple, Bigleaf (Acer macrophyllum)",28
3536,47.586326959,-122.039016069,"Cedar, Western Red (Thuja plicata)",60
3537,47.5863885178,-122.039112329,"Cedar, Western Red (Thuja plicata)",35
3538,47.5864298776,-122.039192902,"Alder, Red (Alnus rubra)",20
3539,47.5863288827,-122.039476691,"Fir, Douglas (Pseudotsuga menziesii)",30
3540,47.5863676442,-122.039403779,"Fir, Douglas (Pseudotsuga menziesii)",30
3541,47.5864116023,-122.039419648,"Cedar, Western Red (Thuja plicata)",38
3542,47.5866694149,-122.03765107,"Fir, Douglas (Pseudotsuga menziesii)",25
3543,47.5867054843,-122.037657487,"Cedar, Western Red (Thuja plicata)",26
3544,47.586978649,-122.037580479,"Hemlock, Western (Tsuga heterophylla)",11
3545,47.5866680432,-122.037631775,"Fir, Douglas (Pseudotsuga menziesii)",16
3546,47.5869561166,-122.037181849,"Maple, Bigleaf (Acer macrophyllum)",16
3547,47.5866828808,-122.037663905,"Fir, Douglas (Pseudotsuga menziesii)",14
3548,47.5869489028,-122.037096997,"Maple, Bigleaf (Acer macrophyllum)",7
3549,47.5866997132,-122.037716669,"Cedar, Western Red (Thuja plicata)",25
3550,47.5869676588,-122.036964372,"Maple, Bigleaf (Acer macrophyllum)",7
3551,47.5866602773,-122.037760165,"Fir, Douglas (Pseudotsuga menziesii)",16
3552,47.5870353977,-122.037487784,"Fir, Douglas (Pseudotsuga menziesii)",13
3553,47.5867088508,-122.03769813,"Fir, Douglas (Pseudotsuga menziesii)",12
3554,47.586629979,-122.037784408,"Fir, Douglas (Pseudotsuga menziesii)",20
3555,47.5869368087,-122.037595453,"Cedar, Western Red (Thuja plicata)",26
3556,47.5865799627,-122.037902059,"Fir, Douglas (Pseudotsuga menziesii)",30
3557,47.5866516917,-122.037643184,"Cedar, Western Red (Thuja plicata)",20
3558,47.5867795467,-122.037511314,"Cottonwood, Black (Populus balsamifera ssp. trichocarpa)",30
3559,47.5868108068,-122.037416481,"Alder, Red (Alnus rubra)",10
3560,47.5869334422,-122.037554097,"Cedar, Western Red (Thuja plicata)",18
3561,47.586473197,-122.03814877,"Hemlock, Western (Tsuga heterophylla)",15
3562,47.5866094463,-122.039719113,"Cedar, Western Red (Thuja plicata)",40
3563,47.5868007074,-122.037452132,"Alder, Red (Alnus rubra)",10
3564,47.5868286009,-122.03735302,"Alder, Red (Alnus rubra)",10
3565,47.5869440225,-122.037644652,"Cedar, Western Red (Thuja plicata)",20
3566,47.5864582883,-122.038094579,"Hemlock, Western (Tsuga heterophylla)",15
3567,47.5864666111,-122.039633548,"Cedar, Western Red (Thuja plicata)",40
3568,47.5864441117,-122.03961056,"Cedar, Western Red (Thuja plicata)",26
3569,47.5865392311,-122.039697009,"Fir, Douglas (Pseudotsuga menziesii)",36
3570,47.5864728632,-122.038040623,"Fir, Douglas (Pseudotsuga menziesii)",30
3571,47.5868261963,-122.037487071,"Cottonwood, Black (Populus balsamifera ssp. trichocarpa)",23
3572,47.586690346,-122.039776698,"Maple, Bigleaf (Acer macrophyllum)",26
3573,47.5869704733,-122.037623261,"Fir, Douglas (Pseudotsuga menziesii)",15
3574,47.5870081212,-122.040987993,"Fir, Douglas (Pseudotsuga menziesii)",55
3575,47.5865151848,-122.039600749,"Cedar, Western Red (Thuja plicata)",34
3576,47.5870288009,-122.041127035,"Fir, Douglas (Pseudotsuga menziesii)",48
3577,47.5869773533,-122.040253891,"Fir, Douglas (Pseudotsuga menziesii)",30
3578,47.5869960982,-122.0411634,"Fir, Douglas (Pseudotsuga menziesii)",28
3579,47.5869816705,-122.04108354,"Fir, Douglas (Pseudotsuga menziesii)",50
3580,47.5868733268,-122.037474237,"Cottonwood, Black (Populus balsamifera ssp. trichocarpa)",25
3581,47.5864797003,-122.038245807,"Fir, Douglas (Pseudotsuga menziesii)",22
3582,47.5869965791,-122.040894585,"Fir, Douglas (Pseudotsuga menziesii)",65
3583,47.5869763804,-122.041219017,"Fir, Douglas (Pseudotsuga menziesii)",30
3584,47.5869898462,-122.041319555,"Cedar, Western Red (Thuja plicata)",30
3585,47.5869932126,-122.04123613,"Fir, Douglas (Pseudotsuga menziesii)",33
3586,47.5870504424,-122.041176948,"Fir, Douglas (Pseudotsuga menziesii)",40
3587,47.5864676772,-122.03827718,"Hemlock, Western (Tsuga heterophylla)",15
3588,47.5870066785,-122.041261799,"Fir, Douglas (Pseudotsuga menziesii)",8
3589,47.5869739757,-122.041385155,"Fir, Douglas (Pseudotsuga menziesii)",8
3590,47.5870124495,-122.041142009,"Fir, Douglas (Pseudotsuga menziesii)",14
3591,47.5869730139,-122.041307434,"Fir, Douglas (Pseudotsuga menziesii)",26
3592,47.5869739757,-122.041454319,"Cedar, Western Red (Thuja plicata)",30
3593,47.5875811727,-122.040611013,"Cedar, Western Red (Thuja plicata)",50
3594,47.5877143443,-122.040462224,"Fir, Douglas (Pseudotsuga menziesii)",30
3595,47.5877379091,-122.040436554,"Fir, Douglas (Pseudotsuga menziesii)",33
3596,47.5877326539,-122.040326663,"Fir, Douglas (Pseudotsuga menziesii)",36
3597,47.5877063068,-122.040355138,"Fir, Douglas (Pseudotsuga menziesii)",28
3598,47.5876865893,-122.040296669,"Fir, Douglas (Pseudotsuga menziesii)",35
3599,47.5876452305,-122.040349433,"Fir, Douglas (Pseudotsuga menziesii)",35
3600,47.5875855968,-122.040355138,"Fir, Douglas (Pseudotsuga menziesii)",40
3601,47.5874163138,-122.040382233,"Fir, Douglas (Pseudotsuga menziesii)",45
3602,47.5875019173,-122.040271712,"Fir, Douglas (Pseudotsuga menziesii)",26
3603,47.5874696958,-122.040263869,"Fir, Douglas (Pseudotsuga menziesii)",22
3604,47.5874297796,-122.040329468,"Fir, Douglas (Pseudotsuga menziesii)",22
3605,47.5875609667,-122.040178351,"Fir, Douglas (Pseudotsuga menziesii)",28
3606,47.5876543679,-122.040185435,"Fir, Douglas (Pseudotsuga menziesii)",35
3607,47.5876154137,-122.040173313,"Fir, Douglas (Pseudotsuga menziesii)",28
3608,47.587619261,-122.04009987,"Fir, Douglas (Pseudotsuga menziesii)",28
3609,47.587544238,-122.039960115,"Fir, Douglas (Pseudotsuga menziesii)",26
3610,47.5875889633,-122.039910915,"Fir, Douglas (Pseudotsuga menziesii)",26
3611,47.5875523102,-122.039845363,"Fir, Douglas (Pseudotsuga menziesii)",28
3612,47.5875365433,-122.039908063,"Fir, Douglas (Pseudotsuga menziesii)",20
3613,47.5876004019,-122.039775485,"Fir, Douglas (Pseudotsuga menziesii)",28
3614,47.5874966272,-122.039802534,"Fir, Douglas (Pseudotsuga menziesii)",28
3615,47.5876042492,-122.039697764,"Fir, Douglas (Pseudotsuga menziesii)",30
3616,47.5875869362,-122.039647852,"Fir, Douglas (Pseudotsuga menziesii)",24
3617,47.5877119397,-122.039694995,"Fir, Douglas (Pseudotsuga menziesii)",25
3618,47.5877763824,-122.039749899,"Fir, Douglas (Pseudotsuga menziesii)",24
3619,47.5877379091,-122.039727082,"Fir, Douglas (Pseudotsuga menziesii)",29
3620,47.587827875,-122.039794737,"Fir, Douglas (Pseudotsuga menziesii)",30
